Order ID,Customer ID,Restaurant Name,Food Category,Item Name,Quantity,Price,Order Date & Time,Delivery Time (min),City,Customer Rating,Delivery Partner
O00001,C0075,Flavor Town,Chinese,Spring Rolls,3,46.31,2025-06-27 14:28:28,35.79,Dubai,2.5,Careem NOW
O00002,C0557,Quick Meal,Sushi,Salmon Nigiri,5,49.55,2025-04-19 21:34:40,59.03,Dubai,3.6,Careem NOW
O00003,C1611,Tasty Bites,Indian,Butter Chicken,4,43.06,2025-05-28 02:19:48,35.15,Ajman,3.1,Deliveroo
O00004,C0202,Quick Meal,Chinese,Chow Mein,4,49.7,2025-04-30 20:29:35,20.7,Sharjah,4.0,Deliveroo
O00005,C0622,Quick Meal,Pizza,Veggie,2,7.56,2025-05-06 08:04:27,69.26,Ajman,2.5,Careem NOW
O00006,C1008,Foodies Hub,Burgers,Cheese Burger,4,6.97,2025-04-09 23:50:05,70.66,Dubai,3.0,Careem NOW
O00007,C1844,Flavor Town,Desserts,Ice Cream,2,46.06,2025-05-21 02:13:17,54.54,Ajman,4.3,Careem NOW
O00008,C1924,Quick Meal,Pizza,Pepperoni,3,42.41,2025-02-16 23:45:42,72.42,Al Ain,4.4,Deliveroo
O00009,C0243,Tasty Bites,Chinese,Spring Rolls,3,17.52,2025-03-24 06:53:38,30.77,Dubai,3.3,Uber Eats
O00010,C1860,Tasty Bites,Chinese,Chow Mein,3,36.67,2025-03-05 15:26:30,52.95,Ajman,3.0,Talabat
O00011,C0717,Foodies Hub,Desserts,Cheesecake,3,30.87,2025-04-14 08:27:25,71.71,Al Ain,3.3,Careem NOW
O00012,C1276,Gourmet Express,Chinese,Chow Mein,5,13.26,2025-03-04 03:58:52,49.24,Ajman,3.6,Deliveroo
O00013,C1760,Flavor Town,Sushi,California Roll,4,5.15,2025-02-25 17:47:09,23.98,Dubai,2.7,Careem NOW
O00014,C1470,Quick Meal,Pizza,Margherita,5,35.47,2025-03-30 20:30:28,22.07,Al Ain,4.5,Uber Eats
O00015,C0020,Gourmet Express,Burgers,Cheese Burger,5,8.26,2025-03-30 16:43:59,53.36,Al Ain,4.9,Uber Eats
O00016,C0514,Foodies Hub,Indian,Biryani,1,23.14,2025-04-20 07:05:10,73.97,Dubai,3.4,Careem NOW
O00017,C0437,Gourmet Express,Pizza,Pepperoni,5,25.2,2025-04-21 21:40:07,79.47,Sharjah,3.9,Zomato
O00018,C0352,Gourmet Express,Chinese,Spring Rolls,2,21.16,2025-01-11 10:14:20,22.61,Abu Dhabi,3.9,Careem NOW
O00019,C1907,Tasty Bites,Chinese,Kung Pao Chicken,3,19.93,2025-02-11 16:45:29,57.53,Al Ain,4.7,Talabat
O00020,C1280,Quick Meal,Chinese,Chow Mein,2,36.08,2025-01-09 23:45:57,36.23,Ajman,2.5,Talabat
O00021,C1458,Tasty Bites,Indian,Butter Chicken,5,12.28,2025-01-27 10:37:28,54.02,Abu Dhabi,2.6,Deliveroo
O00022,C0460,Gourmet Express,Sushi,Spicy Tuna,5,38.34,2025-01-07 02:20:52,36.87,Sharjah,4.7,Careem NOW
O00023,C0612,Foodies Hub,Pizza,Margherita,5,31.97,2025-01-25 16:56:12,62.14,Abu Dhabi,3.5,Careem NOW
O00024,C0633,Foodies Hub,Sushi,Salmon Nigiri,3,35.58,2025-06-09 21:42:24,47.53,Ajman,4.4,Talabat
O00025,C1444,Tasty Bites,Desserts,Brownie,3,38.06,2025-02-01 22:10:26,81.45,Ajman,4.6,Uber Eats
O00026,C0489,Gourmet Express,Chinese,Kung Pao Chicken,3,29.1,2025-01-11 05:18:27,78.23,Sharjah,4.0,Zomato
O00027,C1242,Gourmet Express,Desserts,Brownie,2,32.73,2025-04-10 04:13:52,84.77,Sharjah,4.3,Uber Eats
O00028,C0564,Tasty Bites,Indian,Paneer Tikka,5,25.93,2025-06-17 04:12:35,60.85,Abu Dhabi,3.7,Zomato
O00029,C0975,Foodies Hub,Pizza,Pepperoni,1,23.53,2025-06-17 11:29:31,35.48,Al Ain,3.0,Deliveroo
O00030,C1570,Flavor Town,Pizza,Veggie,1,34.58,2025-01-09 13:12:47,31.23,Ajman,3.1,Careem NOW
O00031,C1771,Quick Meal,Desserts,Brownie,2,36.85,2025-02-27 01:25:17,18.51,Sharjah,4.1,Zomato
O00032,C1226,Tasty Bites,Pizza,Margherita,5,27.61,2025-06-07 02:08:55,64.65,Al Ain,4.3,Talabat
O00033,C0427,Flavor Town,Chinese,Sweet and Sour,1,10.89,2025-05-15 21:54:49,26.77,Al Ain,3.4,Zomato
O00034,C0402,Foodies Hub,Chinese,Sweet and Sour,4,36.28,2025-02-11 06:21:00,70.54,Dubai,3.2,Careem NOW
O00035,C1298,Flavor Town,Pizza,Margherita,3,23.67,2025-02-10 17:54:35,59.23,Ajman,4.9,Uber Eats
O00036,C0100,Quick Meal,Indian,Dal Makhani,2,47.25,2025-04-17 05:03:04,50.43,Ajman,3.8,Zomato
O00037,C0825,Gourmet Express,Desserts,Cheesecake,3,34.5,2025-06-27 14:31:47,45.8,Al Ain,4.5,Careem NOW
O00038,C0340,Tasty Bites,Burgers,Beef Burger,1,17.59,2025-04-11 05:04:58,39.68,Al Ain,3.9,Deliveroo
O00039,C0497,Gourmet Express,Desserts,Chocolate Cake,4,41.51,2025-05-14 14:30:53,72.51,Abu Dhabi,4.1,Talabat
O00040,C0687,Quick Meal,Indian,Paneer Tikka,4,22.69,2025-02-06 04:54:00,61.47,Al Ain,5.0,Careem NOW
O00041,C0482,Tasty Bites,Burgers,Veggie Burger,1,27.61,2025-05-21 10:06:31,52.37,Ajman,4.1,Deliveroo
O00042,C0555,Quick Meal,Chinese,Kung Pao Chicken,1,43.24,2025-06-06 21:19:51,16.69,Sharjah,4.1,Talabat
O00043,C1549,Flavor Town,Chinese,Sweet and Sour,5,46.14,2025-06-11 16:32:42,22.8,Ajman,3.3,Careem NOW
O00044,C1576,Flavor Town,Sushi,Salmon Nigiri,2,9.74,2025-03-17 03:38:11,80.43,Abu Dhabi,4.4,Careem NOW
O00045,C1254,Quick Meal,Burgers,Chicken Burger,5,26.46,2025-02-18 09:08:07,18.09,Abu Dhabi,4.1,Careem NOW
